source,date,text,compound,positive,negative,neutral,ind
BBC,Fri Aug 31 09:12:34 +0000 2018,"RT @BBCScotland: Drumming like you've never seen before! 🥁

Watch #TheRoyalEdinburghMilitaryTattoo on #BBCiPlayer https://t.co/qjoDEhcgUS h…",0.4199,0.177,0.0,0.823,78
BBC,Fri Aug 31 08:58:26 +0000 2018,"RT @BBCRadio4: ""My book is one of my passions.""
But which book did David Beckham pick?
With over 2,000 episodes to discover, make #DesertIs…",0.0,0.0,0.0,1.0,79
BBC,Fri Aug 31 08:58:19 +0000 2018,"RT @BBCRadio4: ""It's very trivial...""
But what was the 'trivial' item that @EdSheeran wanted to be marooned with?
With over 2,000 episodes…",0.0,0.0,0.0,1.0,80
BBC,Fri Aug 31 08:00:11 +0000 2018,"🐐 + 🐎 = ❤️
This rescued horse has formed a beautiful relationship with a local goat. https://t.co/LSiib3iQZn",0.7717,0.401,0.0,0.599,81
BBC,Fri Aug 31 07:29:05 +0000 2018,"😲📖 A book of etchings by a famed Italian artist which was found in a charity shop has fetched £30,000 at auction.
👉… https://t.co/yqo9GALupc",0.4215,0.123,0.0,0.877,82
BBC,Fri Aug 31 07:00:06 +0000 2018,😲♻️🐉 This 'river monster’ was created from the monstrous amount of rubbish found in Leicester's waterways. https://t.co/lECYnJbKp1,0.25,0.111,0.0,0.889,83
BBC,Thu Aug 30 19:02:03 +0000 2018,"The story, both thrilling and dark, of the world's most famous perfume. 

The No 5 War | 9pm | @BBCFour |… https://t.co/q6uRDNO5kC",-0.4588,0.123,0.242,0.635,84
BBC,Thu Aug 30 18:00:21 +0000 2018,"Cases of measles have hit record levels in Europe. 

Experts says it's because fewer people are getting vaccinated . https://t.co/HhX9QDavGn",0.0,0.0,0.0,1.0,85
BBC,Thu Aug 30 17:03:06 +0000 2018,"🐬 A dolphin in Scotland's Firth of Clyde may be exchanging messages with porpoises.
👉 https://t.co/oSRN7HThWd https://t.co/cQHxucMZBf",0.0,0.0,0.0,1.0,86
BBC,Thu Aug 30 16:01:00 +0000 2018,"🛍🛒 Is it possible to shop without buying plastic?
#PlasticsAction https://t.co/D1zODaG8u1",0.0,0.0,0.0,1.0,87
